EventParticipation_Id,EventParticipation_Creator,EventId,EventParticipation_Bidder_UserName,EventParticipation_Bidder_UserId,EventParticipation_SupplierName,EventParticipation_SupplierId,EventParticipation_CommonSupplierName,EventParticipation_CommonSupplierId,EventParticipation_SupplierCity,EventParticipation_SupplierState,EventParticipation_SupplierCountry,EventParticipation_SupplierType,EventParticipation_Owner_UserName,EventParticipation_Owner_UserId,EventParticipation_AcceptedFlag,EventParticipation_DeclinedFlag,EventParticipation_IntendToRespondFlag,EventParticipation_DeclinedToRespondFlag,EventParticipation_ParticipatedFlag,EventParticipation_AwardedFlag,EventParticipation_BidsSubmitted,fraud
AAHMAN0V4e03r,,Doc6744368,Jocelyn Henderson,jhenderson,Network Equipment Solutions,sid505,Network Equipment Solutions,sid505,Irving,TX,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1Wi,,Doc6756668,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4ez2X,,Doc6737990,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,1
AAHMAN0V4ezft,,Doc6756349,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1EY,,Doc6744368,Irving Botham,ibotham,LanSoft Technologies,sid508,LanSoft Technologies,sid508,Sunnyvale,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e0XL,,Doc6756400,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4ez6+,,Doc6737990,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,1
AAHMAN0V4ezmv,,Doc6756366,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e1ZC,,Doc6744368,Lou Jin Teng,ljteng,Lienhua Co.,sid805,Lienhua Co.,sid805,Beijing,,CN,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4ezce,,Doc6756349,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ezhT,,Doc6737975,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e00g,,Doc6756634,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0xu,,Doc6744368,Dana Staley,dstaley,Computer Supplies Inc.,sid503,Computer Supplies Inc.,sid503,San Jose,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,2,0
AAHMAN0V4ez+T,,Doc6756383,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e0SB,,Doc6738005,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1gE,,Doc6756685,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0oQ,,Doc6738020,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0Dv,,Doc6756383,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4ezYd,,Doc6756349,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e09L,,Doc6744368,Sheryl Jones,sjones,Syntech Incorporated,sid507,Syntech Incorporated,sid507,Munich,,DE,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e0nK,,Doc6756417,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1J0,,Doc6744368,Mary Snow,msnow,LanSoft Technologies,sid508,LanSoft Technologies,sid508,Sunnyvale,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1Q7,,Doc6756668,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e1mM,,Doc6755762,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0Is,,Doc6738005,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4ez0Z,,Doc6756383,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1eQ,,Doc6755745,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ezmE,,Doc6737975,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0wZ,,Doc6755494,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0NB,,Doc6756400,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e06z,,Doc6744368,Cheryl Cooper,ccooper,International News Service Corp.,sid506,International News Service Corp.,sid506,New York,NY,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e0aM,,Doc6756417,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1un,,Doc6755779,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0YX,,Doc6738020,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0c+,,Doc6756417,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1wc,,Doc6755779,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ezwe,,Doc6737990,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,1
AAHMAN0V4ezkU,,Doc6756366,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0tf,,Doc6755494,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ezqC,,Doc6737975,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ezrR,,Doc6756366,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e02K,,Doc6755511,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1jP,,Doc6755435,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ezZm,,Doc6756349,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0nz,,Doc6755494,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0fo,,Doc6738020,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0+e,,Doc6756651,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e1qh,,Doc6755762,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ez65,,Doc6756383,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1p2,,Doc6755460,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e1zM,,Doc6755796,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0Jd,,Doc6756400,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1oe,,Doc6755762,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e1bh,,Doc6744368,Roberto José Alfaro Barral,rjabarral,"Industrias Mateo, S.L.",sid810,"Industrias Mateo, S.L.",sid810,Madrid,,ES,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e0ps,,Doc6756417,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e0kC,,Doc6755494,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1Be,,Doc6744368,Dave Bradman,dbradman,LanSoft Technologies,sid508,LanSoft Technologies,sid508,Sunnyvale,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4ezd+,,Doc6756349,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1zp,,Doc6755796,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0vD,,Doc6744368,Betty Hammon,bhammon,ServerTech Inc.,sid502,ServerTech Inc.,sid502,Palo Alto,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1tt,,Doc6755779,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1oP,,Doc6755460,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1xW,,Doc6755779,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0Nv,,Doc6755477,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ezjV,,Doc6737975,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e1Xu,,Doc6755745,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0rO,,Doc6744368,Tammy Phillips,tphillips,CMX Technology,sid501,CMX Technology,sid501,Boston,MA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,1,0
